Keyword,Frequency
what is metronidazole used for treating std,2900
metronidazole while pregnant,880
what std does metronidazole treat,720
can you take metronidazole while pregnant,590
metronidazole std,480
metronidazole for std,390
can i take metronidazole while pregnant,320
metronidazole dosage for std,320
is it safe to take metronidazole while pregnant,210
can you take metronidazole pills while pregnant,170
metronidazole treats what std,170
can you use metronidazole gel while pregnant,140
what std is metronidazole 500mg used for,140
can i use metronidazole gel while pregnant,110
metronidazole uses for std,110
